ID,Country,Date,Cum_conf_cases,Cum_susp_cases,Cum_conf_death
490,United States of America,11/21/14,4,0,1
491,Nigeria,11/21/14,19,0,7
492,Senegal,11/21/14,1,0,0
493,Guinea,11/19/14,1698,63,982
494,Liberia,11/19/14,2643,2664,NA
495,Sierra Leone,11/19/14,5056,938,1041
496,Mali,11/19/14,5,0,4
497,Spain,11/19/14,1,0,0
498,United States of America,11/19/14,4,0,1
499,Nigeria,11/19/14,19,0,7
500,Senegal,11/19/14,1,0,0
501,Guinea,11/14/14,1647,64,958
502,Liberia,11/14/14,2562,2600,NA
503,Sierra Leone,11/14/14,4683,824,978
504,Mali,11/14/14,3,0,NA
505,Spain,11/14/14,1,0,0
506,United States of America,11/14/14,4,0,1
507,Nigeria,11/14/14,19,0,7
508,Senegal,11/14/14,1,0,0
509,Guinea,11/12/14,1612,58,934
510,Liberia,11/12/14,2553,2582,NA
511,Sierra Leone,11/12/14,4523,766,960
512,Mali,11/12/14,2,0,2
513,Spain,11/12/14,1,0,0
514,United States of America,11/12/14,4,0,1
515,Nigeria,11/12/14,19,0,7
516,Senegal,11/12/14,1,0,0
517,Guinea,11/7/14,1479,77,850
518,Liberia,11/7/14,2514,2476,NA
519,Sierra Leone,11/7/14,4149,634,921
520,Mali,11/7/14,1,0,1
521,Spain,11/7/14,1,0,0
522,United States of America,11/7/14,4,0,1
523,Nigeria,11/7/14,19,0,7
524,Senegal,11/7/14,1,0,0
525,Guinea,11/5/14,1457,70,837
526,Liberia,11/5/14,2451,2447,NA
527,Sierra Leone,11/5/14,4057,623,893
528,Mali,11/5/14,1,0,1
529,Spain,11/5/14,1,0,0
530,United States of America,11/5/14,4,0,1
531,Nigeria,11/5/14,19,0,7
532,Senegal,11/5/14,1,0,0
533,Guinea,10/31/14,1409,54,NA
534,Liberia,10/31/14,2515,2480,NA
535,Sierra Leone,10/31/14,3778,1238,NA
536,Mali,10/31/14,1,0,1
537,Spain,10/31/14,1,0,0
538,United States of America,10/31/14,4,0,1
539,Nigeria,10/31/14,19,0,7
540,Senegal,10/31/14,1,0,0
541,Guinea,10/29/14,1391,316,NA
542,Liberia,10/29/14,2515,2480,NA
543,Sierra Leone,10/29/14,3700,1213,NA
544,Mali,10/29/14,1,0,1
545,Spain,10/29/14,1,0,0
546,United States of America,10/29/14,4,0,1
547,Nigeria,10/29/14,19,0,7
548,Senegal,10/29/14,1,0,0
549,Guinea,10/25/14,1312,47,732
550,Liberia,10/25/14,965,1594,1241
551,Sierra Leone,10/25/14,3389,470,1008
552,Mali,10/25/14,1,NA,1
553,Spain,10/25/14,1,NA,0
554,United States of America,10/25/14,4,NA,1
555,Nigeria,10/25/14,19,0,7
556,Senegal,10/25/14,1,0,0
557,Guinea,10/22/14,1289,58,710
558,Liberia,10/22/14,965,1594,1241
559,Sierra Leone,10/22/14,3223,446,986
560,Spain,10/22/14,1,NA,0
561,United States of America,10/22/14,3,NA,1
562,Nigeria,10/22/14,19,0,7
563,Senegal,10/22/14,1,0,0
564,Guinea,10/17/14,1217,111,671
565,Sierra Leone,10/17/14,2977,396,932
566,Nigeria,10/17/14,19,0,7
567,Senegal,10/17/14,1,0,0
